x, y
9.91473261160795, -2.315377854311288
9.990984467214599, -1.8425442608836033
10.053513885368767, -1.290785484941434
10.111372605814838, -1.014547346140738
10.21144864042869, -0.297045686918151
10.278503928455049, 0.19516045130854365
10.37217133132988, 0.5639563041489534
10.451862848039394, 1.137957631527023
10.561714761577175, 1.4995784677752066
10.636518338824722, 1.7306140020448797
10.719215033129368, 2.374930492026763
10.831492812918643, 2.6963712353584817
10.944349904051558, 2.9231017596728193
11.055505268112531, 3.1605948088754956
11.187045150077845, 3.205079911747296
11.319236757304754, 3.2969201241277872
11.40761794416887, 3.402392868033507
11.539737137477823, 3.439702954313082
11.668090807053115, 3.6226658774148417
11.84101524312973, 3.2510000179375416
11.989282740142656, 2.915209241421371
12.127774358231653, 2.676998690559472
12.231362467866324, 2.4524206712228023
12.348093703609834, 1.9573445263592173
12.466852529056084, 1.3180505479918923
12.591042398348963, 0.9557122100844858
12.711647778703068, 0.6529265098925541
12.823997972410297, -0.10690774722416546
12.930156776132373, -0.4678110818131267
12.877548064738043, -0.28269565373369926
13.010029327636772, -0.8983120773466788
13.115391578261342, -1.4393083284005095
13.255657337340237, -2.0305296955999212
13.401317933306782, -2.8886616800301352
13.480502552590607, -3.512170621894563
13.60360621311416, -3.736748641231233
13.572069951844744, -3.5918133060682704
13.715847785944458, -4.658738273332257
13.915275715992614, -6.141096701286122
14.048119048481118, -7.412509641428546
14.196639994206887, -8.02669106172308
14.150077844961801, -7.914043301225134
14.249321119519172, -8.754237744174784
14.312900539483689, -9.274426447111159
14.411492088779463, -10.41166657697896
14.543394040334553, -11.445586467918707
14.692747746116805, -13.273063193958636
14.805025525906078, -14.40312830723421
14.905318802273797, -15.610683599705824
15.043194902060176, -17.347755116683707
15.210362431659366, -19.3646522807584
15.312755711647778, -20.455972304435953
15.391107570875121, -22.15788624011193
15.492161193381367, -23.440061705142693
15.634128679532207, -25.368706165133005
15.72794091024295, -27.034745017847854
15.866215286578079, -28.9612369728605
15.975777544444043, -30.51678057005507
16.12035193164126, -32.65206550790149
16.263369419602448, -34.63595759565194
16.357724754697852, -36.27544888697555
16.414931749882328, -37.29573624639007
16.543647489047395, -38.88141491327199
16.612295883268764, -39.90098477102728
16.696911546399217, -41.48379343127231
16.782939280929796, -42.38999802687044
16.938592997574133, -44.8381136881379
17.02726384011007, -45.85840104755242
17.148448531807812, -47.622020125921544
