x, y
0.03569720865700423, 0.7126535275635533
0.27492494493348907, 0.6631438636580025
0.4377023351336098, 0.6283918880319909
0.5535418936608844, 0.549842902027992
0.7151199705266789, 0.3836998952680187
0.9422605096689739, -0.3213367609254499
1.1755387111692914, -0.8773683709416358
1.2805374177921662, -1.0668380462724936
1.419986987842255, -1.7818718461391985
1.626198333503171, -2.714938588974579
1.832738902432333, -3.6265828810815957
2.016233842584246, -4.765781205369894
2.128404913265346, -5.082357421689041
2.236766400413881, -6.085880224697705
2.350677651227141, -6.649052651623346
2.5030374765820356, -7.424545367990098
2.647002108596647, -8.268589926687614
2.729848792456084, -9.060744549176427
2.8405148424823436, -9.332095591735694
3.0932642487046635, -11.166333428544226
3.213477773510069, -12.241264400647434
3.3244730468045747, -12.549271636675236
3.5914025695092224, -14.556793297153195
3.870772028564038, -16.689993335237553
3.960109113997476, -17.039893363800818
4.2518009296638, -19.52918213843664
4.492463138751931, -21.425783109587737
4.718616008089486, -22.88822241264401
4.813267697710331, -23.45948776540036
5.2840569713027055, -26.53765590783586
5.550774850477766, -28.121489098352853
5.656667163114452, -28.639912405979246
